gene	genomic_class	arrangement	provenance	dup_class4	TF_subfamily	in_lambert	hgnc_locus_type	is_ohnolog	is_ohnolog_relaxed	ohnolog_rescue_via_cluster	cluster_id	n_ohnolog_partners	ohnolog_dup_time	youngest_paralog_node	age_category	is_responder	n_response_celltypes
ZNF775	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0027	0		Bilateria	pre2R_ancient	False	0
ZNF784	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0019	0		Bilateria	pre2R_ancient	False	0
ZNF837	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0020	0		Bilateria	pre2R_ancient	False	0
ZNF865	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0019	0		Bilateria	pre2R_ancient	False	0
ZSCAN1	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0064	0		Bilateria	pre2R_ancient	False	0
ZSCAN12	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0066	0		Vertebrata	2R_vertebrata	False	0
ZSCAN16	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0065	0		Vertebrata	2R_vertebrata	False	0
ZSCAN18	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0064	0		Bilateria	pre2R_ancient	True	2
ZSCAN23	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0066	0		Vertebrata	2R_vertebrata	False	0
ZSCAN30	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0062	0		Vertebrata	2R_vertebrata	True	1
ZSCAN31	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0066	0		Vertebrata	2R_vertebrata	False	0
ZSCAN32	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0061	0		Bilateria	pre2R_ancient	False	0
ZSCAN5A	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0063	0		Catarrhini	post2R_young	True	3
ZSCAN5B	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0063	0		Bilateria	pre2R_ancient	False	0
ZSCAN5C	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0063	0		Catarrhini	post2R_young	False	0
DMRT1	clustered	clustered	SSD	clustered_SSD_tandem	DM	True	gene with protein product	False	False	False	clust0029	0		Bilateria	pre2R_ancient	False	0
DMRT2	clustered	clustered	SSD	clustered_SSD_tandem	DM	True	gene with protein product	False	False	False	clust0029	0		Bilateria	pre2R_ancient	False	0
DMRT3	clustered	clustered	SSD	clustered_SSD_tandem	DM	True	gene with protein product	False	False	False	clust0029	0		Bilateria	pre2R_ancient	False	0
FOXC2	clustered	clustered	SSD	clustered_SSD_tandem	Forkhead	True	gene with protein product	False	False	False	clust0035	0		Opisthokonta	pre2R_ancient	False	0
FOXL1	clustered	clustered	SSD	clustered_SSD_tandem	Forkhead	True	gene with protein product	False	False	False	clust0035	0		Opisthokonta	pre2R_ancient	False	0
GTF2I	clustered	clustered	SSD	clustered_SSD_tandem	GTF2I-like	True	gene with protein product	False	False	False	clust0037	0		Bilateria	pre2R_ancient	True	1
GTF2IRD1	clustered	clustered	SSD	clustered_SSD_tandem	GTF2I-like	True	gene with protein product	False	False	False	clust0037	0		Bilateria	pre2R_ancient	True	2
HSFY1	clustered	clustered	SSD	clustered_SSD_tandem	HSF	True	gene with protein product	False	False	False	clust0038	0		Homo sapiens	post2R_young	False	0
HSFY2	clustered	clustered	SSD	clustered_SSD_tandem	HSF	True	gene with protein product	False	False	False	clust0038	0		Homo sapiens	post2R_young	False	0
NANOG	clustered	clustered	SSD	clustered_SSD_tandem	Homeodomain	True	gene with protein product	False	False	False	clust0042	0		Hominoidea	post2R_young	False	0
NANOGNB	clustered	clustered	SSD	clustered_SSD_tandem	Homeodomain	True	gene with protein product	False	False	False	clust0042	0		Bilateria	pre2R_ancient	False	0
RHOXF1	clustered	clustered	SSD	clustered_SSD_tandem	Homeodomain	True	gene with protein product	False	False	False	clust0055	0		Bilateria	pre2R_ancient	True	7
RHOXF2	clustered	clustered	SSD	clustered_SSD_tandem	Homeodomain	True	gene with protein product	False	False	False	clust0055	0		Homo sapiens	post2R_young	False	0
RHOXF2B	clustered	clustered	SSD	clustered_SSD_tandem	Homeodomain	True	gene with protein product	False	False	False	clust0055	0		Homo sapiens	post2R_young	False	0
SP100	clustered	clustered	SSD	clustered_SSD_tandem	SAND	True	gene with protein product	False	False	False	clust0060	0		Bilateria	pre2R_ancient	True	12
SP110	clustered	clustered	SSD	clustered_SSD_tandem	SAND	True	gene with protein product	False	False	False	clust0060	0		Bilateria	pre2R_ancient	True	13
SP140	clustered	clustered	SSD	clustered_SSD_tandem	SAND	True	gene with protein product	False	False	False	clust0060	0		Bilateria	pre2R_ancient	True	15
SP140L	clustered	clustered	SSD	clustered_SSD_tandem	SAND	True	gene with protein product	False	False	False	clust0060	0		Bilateria	pre2R_ancient	True	1
FERD3L	clustered	clustered	SSD	clustered_SSD_tandem	bHLH	True	gene with protein product	False	False	False	clust0075	0		Bilateria	pre2R_ancient	False	0
MESP1	clustered	clustered	SSD	clustered_SSD_tandem	bHLH	True	gene with protein product	False	False	False	clust0073	0		Eutheria	post2R_young	False	0
MESP2	clustered	clustered	SSD	clustered_SSD_tandem	bHLH	True	gene with protein product	False	False	False	clust0073	0		Eutheria	post2R_young	False	0
OLIG1	clustered	clustered	SSD	clustered_SSD_tandem	bHLH	True	gene with protein product	False	False	False	clust0074	0		Bilateria	pre2R_ancient	False	0
OLIG2	clustered	clustered	SSD	clustered_SSD_tandem	bHLH	True	gene with protein product	False	False	False	clust0074	0		Bilateria	pre2R_ancient	False	0
SOHLH2	clustered	clustered	SSD	clustered_SSD_tandem	bHLH	True	gene with protein product	False	False	False	clust0072	0			no_paralog_node	False	0
TWIST1	clustered	clustered	SSD	clustered_SSD_tandem	bHLH	True	gene with protein product	False	False	False	clust0075	0		Bilateria	pre2R_ancient	False	0
TFAP2B	clustered	clustered	ohnolog	clustered_cis_ohnolog	AP-2	True	gene with protein product	True	True	False	clust0001	3	Vertebrata	Vertebrata	2R_vertebrata	False	0
TFAP2D	clustered	clustered	ohnolog	clustered_cis_ohnolog	AP-2	True	gene with protein product	True	True	False	clust0001	3	Vertebrata	Vertebrata	2R_vertebrata	False	0
GLI4	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0028	0		Bilateria	pre2R_ancient	True	1
KLF12	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0008	2	Vertebrata	Bilateria	pre2R_ancient	True	2
KLF5	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0008	0		Bilateria	pre2R_ancient	True	5
SALL4	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0021	3	Vertebrata	Bilateria	pre2R_ancient	True	1
SP1	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0007	2	Vertebrata	Bilateria	pre2R_ancient	False	0
SP2	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0013	2	Vertebrata	Bilateria	pre2R_ancient	False	0
SP4	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0025	2	Vertebrata	Bilateria	pre2R_ancient	False	0
SP6	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0013	1	Vertebrata	Bilateria	pre2R_ancient	False	0
SP7	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0007	2	Vertebrata	Bilateria	pre2R_ancient	False	0
SP8	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0025	2	Vertebrata	Bilateria	pre2R_ancient	False	0
TSHZ2	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0021	2	Vertebrata		no_paralog_node	True	9
TSHZ3	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0017	2	Vertebrata		no_paralog_node	True	7
ZBTB8A	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0002	5	Vertebrata		no_paralog_node	True	2
ZBTB8B	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0002	4	Vertebrata	Euteleostomi	2R_vertebrata	False	0
ZFP41	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0028	0		Bilateria	pre2R_ancient	False	0
ZFP64	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0021	0		Bilateria	pre2R_ancient	True	2
ZFPM1	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0012	1	Vertebrata	Vertebrata	2R_vertebrata	False	0
ZIC1	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0024	3	Vertebrata	Bilateria	pre2R_ancient	False	0
ZIC2	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0009	3	Vertebrata	Bilateria	pre2R_ancient	False	0
ZIC4	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0024	3	Vertebrata	Bilateria	pre2R_ancient	False	0
ZIC5	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0009	3	Vertebrata	Bilateria	pre2R_ancient	False	0
ZNF217	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0021	0		Bilateria	pre2R_ancient	True	1
ZNF280A	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0022	1	Vertebrata	Bilateria	pre2R_ancient	False	0
ZNF280B	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0022	1	Vertebrata	Bilateria	pre2R_ancient	True	1
ZNF35	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0023	2	Vertebrata	Bilateria	pre2R_ancient	False	0
ZNF469	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0012	0			no_paralog_node	False	0
ZNF501	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0023	0		Mammalia	post2R_young	False	0
ZNF502	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0023	4	Vertebrata	Bilateria	pre2R_ancient	False	0
ZNF507	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0017	0		Bilateria	pre2R_ancient	False	0
ZNF536	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0017	0		Bilateria	pre2R_ancient	False	0
ZNF660	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0023	2	Vertebrata	Bilateria	pre2R_ancient	False	0
ZNF696	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0028	2	Vertebrata	Eutheria	post2R_young	False	0
EHF	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	True	False	clust0031	1	Vertebrata	Bilateria	pre2R_ancient	True	3
ELF5	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	False	True	clust0031	0		Bilateria	pre2R_ancient	False	0
ERG	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	False	True	clust0033	0		Bilateria	pre2R_ancient	False	0
ETS1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	True	False	clust0032	1	Vertebrata	Bilateria	pre2R_ancient	True	2
ETS2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	True	False	clust0033	1	Vertebrata	Bilateria	pre2R_ancient	True	15
ETV3	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	True	False	clust0030	1	Vertebrata	Bilateria	pre2R_ancient	True	5
ETV3L	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	True	False	clust0030	1	Vertebrata	Bilateria	pre2R_ancient	True	4
FLI1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	False	True	clust0032	0		Bilateria	pre2R_ancient	False	0
FOXC1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Forkhead	True	gene with protein product	True	False	True	clust0036	0		Opisthokonta	pre2R_ancient	True	4
FOXD2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Forkhead	True	gene with protein product	True	True	False	clust0034	1	Vertebrata	Opisthokonta	pre2R_ancient	False	0
FOXE3	clustered	clustered	ohnolog	clustered_cis_ohnolog	Forkhead	True	gene with protein product	True	False	True	clust0034	0		Opisthokonta	pre2R_ancient	False	0
FOXF2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Forkhead	True	gene with protein product	True	True	False	clust0036	1	Vertebrata	Bilateria	pre2R_ancient	False	0
FOXQ1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Forkhead	True	gene with protein product	True	False	True	clust0036	0		Opisthokonta	pre2R_ancient	True	2
CDX2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0043	2	Vertebrata	Bilateria	pre2R_ancient	False	0
CRX	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0048	2	Older	Bilateria	pre2R_ancient	False	0
DLX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0050	2	Vertebrata	Bilateria	pre2R_ancient	False	0
DLX2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0050	2	Vertebrata	Bilateria	pre2R_ancient	False	0
DLX3	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0047	2	Vertebrata	Bilateria	pre2R_ancient	False	0
DLX4	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0047	2	Vertebrata	Bilateria	pre2R_ancient	False	0
DLX5	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0053	2	Vertebrata	Bilateria	pre2R_ancient	False	0
DLX6	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0053	2	Vertebrata	Bilateria	pre2R_ancient	False	0
GSX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0043	1	Vertebrata	Euteleostomi	2R_vertebrata	False	0
HMX2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0041	1	Vertebrata	Bilateria	pre2R_ancient	False	0
HMX3	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0041	1	Vertebrata	Bilateria	pre2R_ancient	False	0
IRX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0052	3	Vertebrata	Bilateria	pre2R_ancient	False	0
IRX2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0052	3	Vertebrata	Bilateria	pre2R_ancient	False	0
IRX3	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0046	3	Vertebrata	Bilateria	pre2R_ancient	False	0
IRX4	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0052	3	Vertebrata	Bilateria	pre2R_ancient	False	0
IRX5	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0046	3	Vertebrata	Bilateria	pre2R_ancient	False	0
IRX6	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0046	3	Vertebrata	Bilateria	pre2R_ancient	False	0
LBX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0040	1	Vertebrata	Bilateria	pre2R_ancient	False	0
LMX1A	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0039	1	Vertebrata	Bilateria	pre2R_ancient	False	0
NKX2-1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0044	1	Vertebrata	Bilateria	pre2R_ancient	False	0
NKX2-2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0051	1	Older	Bilateria	pre2R_ancient	False	0
NKX2-4	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0051	1	Vertebrata	Bilateria	pre2R_ancient	False	0
NKX2-6	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0054	2	Vertebrata	Bilateria	pre2R_ancient	False	0
NKX2-8	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0044	1	Older	Bilateria	pre2R_ancient	False	0
NKX3-1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0054	1	Vertebrata	Bilateria	pre2R_ancient	False	0
PBX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0039	3	Vertebrata	Euteleostomi	2R_vertebrata	True	2
PDX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	False	True	clust0043	0		Bilateria	pre2R_ancient	False	0
SIX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0045	1	Vertebrata	Bilateria	pre2R_ancient	False	0
SIX2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0049	1	Vertebrata	Bilateria	pre2R_ancient	False	0
SIX3	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0049	1	Vertebrata	Bilateria	pre2R_ancient	False	0
SIX4	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0045	1	Vertebrata	Bilateria	pre2R_ancient	False	0
SIX6	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0045	1	Vertebrata	Bilateria	pre2R_ancient	False	0
TLX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0040	2	Vertebrata	Bilateria	pre2R_ancient	False	0
TPRX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	False	True	clust0048	0		Catarrhini	post2R_young	False	0
MEF2B	clustered	clustered	ohnolog	clustered_cis_ohnolog	MADS box	True	gene with protein product	True	True	False	clust0056	3	Vertebrata	Opisthokonta	pre2R_ancient	False	0
NR1D1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Nuclear receptor	True	gene with protein product	True	True	False	clust0057	1	Vertebrata	Bilateria	pre2R_ancient	True	1
NR1D2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Nuclear receptor	True	gene with protein product	True	True	False	clust0058	1	Vertebrata	Bilateria	pre2R_ancient	True	4
NR5A1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Nuclear receptor	True	gene with protein product	True	True	False	clust0059	1	Vertebrata	Vertebrata	2R_vertebrata	False	0
NR6A1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Nuclear receptor	True	gene with protein product	True	False	True	clust0059	0			no_paralog_node	True	2
RARB	clustered	clustered	ohnolog	clustered_cis_ohnolog	Nuclear receptor	True	gene with protein product	True	True	False	clust0058	2	Vertebrata	Bilateria	pre2R_ancient	True	1
THRA	clustered	clustered	ohnolog	clustered_cis_ohnolog	Nuclear receptor	True	gene with protein product	True	True	False	clust0057	1	Vertebrata	Bilateria	pre2R_ancient	True	13
THRB	clustered	clustered	ohnolog	clustered_cis_ohnolog	Nuclear receptor	True	gene with protein product	True	True	False	clust0058	1	Vertebrata	Bilateria	pre2R_ancient	True	3
STAT1	clustered	clustered	ohnolog	clustered_cis_ohnolog	STAT	True	gene with protein product	True	True	False	clust0068	5	Vertebrata	Vertebrata	2R_vertebrata	True	22
STAT3	clustered	clustered	ohnolog	clustered_cis_ohnolog	STAT	True	gene with protein product	True	True	False	clust0067	4	Vertebrata	Vertebrata	2R_vertebrata	False	0
STAT4	clustered	clustered	ohnolog	clustered_cis_ohnolog	STAT	True	gene with protein product	True	True	False	clust0068	5	Vertebrata	Vertebrata	2R_vertebrata	True	7
